date,datetime,tickersymbol,price,close,best-bid,best-ask,spread
2025-11-04,2025-11-04 09:16:00.000000,VN30F1M,1864.1,1864.1,1864.0,1864.1999999999998,0.1999999999998181
2025-11-04,2025-11-04 09:17:00.000000,VN30F1M,1866.4,1866.4,1866.3000000000002,1866.5,0.1999999999998181
2025-11-04,2025-11-04 09:18:00.000000,VN30F1M,1865.5,1865.5,1865.4,1865.6,0.1999999999998181
2025-11-04,2025-11-04 09:19:00.000000,VN30F1M,1861.9,1861.9,1861.8000000000002,1862.0,0.1999999999998181
2025-11-04,2025-11-04 09:20:00.000000,VN30F1M,1860.5,1860.5,1860.4,1860.6,0.1999999999998181
2025-11-04,2025-11-04 09:21:00.000000,VN30F1M,1860.0,1860.0,1859.9,1860.1,0.1999999999998181
2025-11-04,2025-11-04 09:22:00.000000,VN30F1M,1862.4,1862.4,1862.3000000000002,1862.5,0.1999999999998181
2025-11-04,2025-11-04 09:23:00.000000,VN30F1M,1864.2,1864.2,1864.1000000000001,1864.3,0.1999999999998181
2025-11-04,2025-11-04 09:24:00.000000,VN30F1M,1864.0,1864.0,1863.9,1864.1,0.1999999999998181
2025-11-04,2025-11-04 09:25:00.000000,VN30F1M,1863.2,1863.2,1863.1000000000001,1863.3,0.1999999999998181
2025-11-04,2025-11-04 09:26:00.000000,VN30F1M,1866.4,1866.4,1866.3000000000002,1866.5,0.1999999999998181
2025-11-04,2025-11-04 09:27:00.000000,VN30F1M,1867.8,1867.8,1867.7,1867.8999999999999,0.1999999999998181
2025-11-04,2025-11-04 09:28:00.000000,VN30F1M,1868.2,1868.2,1868.1000000000001,1868.3,0.1999999999998181
2025-11-04,2025-11-04 09:29:00.000000,VN30F1M,1867.5,1867.5,1867.4,1867.6,0.1999999999998181
2025-11-04,2025-11-04 09:30:00.000000,VN30F1M,1869.4,1869.4,1869.3000000000002,1869.5,0.1999999999998181
2025-11-04,2025-11-04 09:31:00.000000,VN30F1M,1868.0,1868.0,1867.9,1868.1,0.1999999999998181
2025-11-04,2025-11-04 09:32:00.000000,VN30F1M,1866.0,1866.0,1865.9,1866.1,0.1999999999998181
2025-11-04,2025-11-04 09:33:00.000000,VN30F1M,1867.0,1867.0,1866.9,1867.1,0.1999999999998181
2025-11-04,2025-11-04 09:34:00.000000,VN30F1M,1866.7,1866.7,1866.6000000000001,1866.8,0.1999999999998181
2025-11-04,2025-11-04 09:35:00.000000,VN30F1M,1866.0,1866.0,1865.9,1866.1,0.1999999999998181
2025-11-04,2025-11-04 09:36:00.000000,VN30F1M,1865.7,1865.7,1865.6000000000001,1865.8,0.1999999999998181
2025-11-04,2025-11-04 09:37:00.000000,VN30F1M,1869.5,1869.5,1869.4,1869.6,0.1999999999998181
2025-11-04,2025-11-04 09:38:00.000000,VN30F1M,1871.9,1871.9,1871.8000000000002,1872.0,0.1999999999998181
2025-11-04,2025-11-04 09:39:00.000000,VN30F1M,1872.0,1872.0,1871.9,1872.1,0.1999999999998181
2025-11-04,2025-11-04 09:40:00.000000,VN30F1M,1870.6,1870.6,1870.5,1870.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 09:41:00.000000,VN30F1M,1871.4,1871.4,1871.3000000000002,1871.5,0.1999999999998181
2025-11-04,2025-11-04 09:42:00.000000,VN30F1M,1870.0,1870.0,1869.9,1870.1,0.1999999999998181
2025-11-04,2025-11-04 09:43:00.000000,VN30F1M,1872.4,1872.4,1872.3000000000002,1872.5,0.1999999999998181
2025-11-04,2025-11-04 09:44:00.000000,VN30F1M,1872.9,1872.9,1872.8000000000002,1873.0,0.1999999999998181
2025-11-04,2025-11-04 09:45:00.000000,VN30F1M,1874.5,1874.5,1874.4,1874.6,0.1999999999998181
2025-11-04,2025-11-04 09:46:00.000000,VN30F1M,1873.8,1873.8,1873.7,1873.8999999999999,0.1999999999998181
2025-11-04,2025-11-04 09:47:00.000000,VN30F1M,1874.1,1874.1,1874.0,1874.1999999999998,0.1999999999998181
2025-11-04,2025-11-04 09:48:00.000000,VN30F1M,1872.7,1872.7,1872.6000000000001,1872.8,0.1999999999998181
2025-11-04,2025-11-04 09:49:00.000000,VN30F1M,1871.3,1871.3,1871.2,1871.3999999999999,0.1999999999998181
2025-11-04,2025-11-04 09:50:00.000000,VN30F1M,1872.5,1872.5,1872.4,1872.6,0.1999999999998181
2025-11-04,2025-11-04 09:51:00.000000,VN30F1M,1876.1,1876.1,1876.0,1876.1999999999998,0.1999999999998181
2025-11-04,2025-11-04 09:52:00.000000,VN30F1M,1874.5,1874.5,1874.4,1874.6,0.1999999999998181
2025-11-04,2025-11-04 09:53:00.000000,VN30F1M,1874.6,1874.6,1874.5,1874.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 09:54:00.000000,VN30F1M,1873.9,1873.9,1873.8000000000002,1874.0,0.1999999999998181
2025-11-04,2025-11-04 09:55:00.000000,VN30F1M,1872.8,1872.8,1872.7,1872.8999999999999,0.1999999999998181
2025-11-04,2025-11-04 09:56:00.000000,VN30F1M,1872.1,1872.1,1872.0,1872.1999999999998,0.1999999999998181
2025-11-04,2025-11-04 09:57:00.000000,VN30F1M,1870.9,1870.9,1870.8000000000002,1871.0,0.1999999999998181
2025-11-04,2025-11-04 09:58:00.000000,VN30F1M,1870.9,1870.9,1870.8000000000002,1871.0,0.1999999999998181
2025-11-04,2025-11-04 09:59:00.000000,VN30F1M,1870.7,1870.7,1870.6000000000001,1870.8,0.1999999999998181
2025-11-04,2025-11-04 10:00:00.000000,VN30F1M,1867.5,1867.5,1867.4,1867.6,0.1999999999998181
2025-11-04,2025-11-04 10:01:00.000000,VN30F1M,1868.0,1868.0,1867.9,1868.1,0.1999999999998181
2025-11-04,2025-11-04 10:02:00.000000,VN30F1M,1869.5,1869.5,1869.4,1869.6,0.1999999999998181
2025-11-04,2025-11-04 10:03:00.000000,VN30F1M,1868.8,1868.8,1868.7,1868.8999999999999,0.1999999999998181
2025-11-04,2025-11-04 10:04:00.000000,VN30F1M,1869.2,1869.2,1869.1000000000001,1869.3,0.1999999999998181
2025-11-04,2025-11-04 10:05:00.000000,VN30F1M,1869.0,1869.0,1868.9,1869.1,0.1999999999998181
2025-11-04,2025-11-04 10:06:00.000000,VN30F1M,1868.2,1868.2,1868.1000000000001,1868.3,0.1999999999998181
2025-11-04,2025-11-04 10:07:00.000000,VN30F1M,1868.5,1868.5,1868.4,1868.6,0.1999999999998181
2025-11-04,2025-11-04 10:08:00.000000,VN30F1M,1868.2,1868.2,1868.1000000000001,1868.3,0.1999999999998181
2025-11-04,2025-11-04 10:09:00.000000,VN30F1M,1867.6,1867.6,1867.5,1867.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 10:10:00.000000,VN30F1M,1871.7,1871.7,1871.6000000000001,1871.8,0.1999999999998181
2025-11-04,2025-11-04 10:11:00.000000,VN30F1M,1871.0,1871.0,1870.9,1871.1,0.1999999999998181
2025-11-04,2025-11-04 10:12:00.000000,VN30F1M,1870.3,1870.3,1870.2,1870.3999999999999,0.1999999999998181
